zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
MAZ,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.97,1.0,0.03
AEI,0.0,0.985,0.985,1.0,1.0,1.0,0.485,1.0,0.485,1.0,0.97,0.985
GIS,0.905,1.0,1.0,1.0,0.845,1.0,1.0,1.0,1.0,1.0,0.825,0.885
TON,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75
ITE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.745,0.375,1.0,0.55
NON,0.685,0.96,1.0,1.0,0.725,1.0,0.75,1.0,0.38,0.965,1.0,0.93
MOR,0.48,1.0,1.0,1.0,0.645,1.0,0.54,1.0,1.0,0.85,0.895,0.86
AST,0.965,1.0,1.0,1.0,1.0,1.0,1.0,0.515,0.88,0.515,0.16,0.52
PHI,0.12,1.0,1.0,1.0,1.0,1.0,0.905,1.0,1.0,0.975,0.975,0.905
SAV,1.0,1.0,1.0,1.0,0.855,1.0,1.0,1.0,0.855,1.0,0.0,0.77
UOV,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ITT,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ITG,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
MTT,0.835,1.0,1.0,1.0,1.0,1.0,0.835,1.0,0.135,0.895,0.055,0.35
NSI,0.955,1.0,1.0,1.0,0.955,1.0,0.955,1.0,0.0,1.0,0.0,0.0
CON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.92,0.92,1.0,0.08
