zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.0,0.0,0.7777777777777778,0.7777777777777778,0.0,1.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.0,0.7777777777777778,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1111111111111111
MTN,C1CCNC1,1.0,0.5555555555555556,0.0,0.0,0.0,1.0,1.0,0.4444444444444444,0.0,0.0,0.0,0.0
AFI,CCN(C(C)C)C(C)C,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444
AEN,CC[N+](CC)(CC)CC,0.0,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0
AST,CC(C)[N+](C)(C)C,0.875,1.0,0.125,0.125,0.0,1.0,1.0,0.0,0.0,0.0,0.125,0.0
MTW,C1CN2CCN1CC2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MTW,C1CCC[N+]2(CC1)CCCCC2,0.0,0.0,0.0,0.0,0.375,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MFI,C1CCNC1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.0
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.0,0.0,1.0,0.0,0.0,1.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.0
NON,CC1CCCN1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2857142857142857
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.0
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,1.0,1.0,1.0,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.14285714285714285,1.0,0.8571428571428571,0.8571428571428571,1.0,0.0,0.8571428571428571,0.0,0.2857142857142857
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.0,0.7142857142857143,0.0,0.0,1.0,1.0,1.0,0.0,0.8571428571428571,0.0,0.0,0.0
CHA,CN(CCO)CCO,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0
FAU,Cc1cccc(C)[n+]1C,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NON,CC1CCCCN1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2857142857142857
CHA,CN1CCNCC1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ERI,C[N+]1(C)CCCCC1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8571428571428571
AFI,C1CCCNCC1,1.0,0.0,0.42857142857142855,0.42857142857142855,0.0,1.0,1.0,1.0,0.5714285714285714,0.0,0.0,0.0
