PCA 1,PCA 2
0.2249174866666314,-0.7882036916315327
0.23168992260497032,-0.7870341351219678
0.23846235854330913,-0.7858645786124027
0.22219282443763874,-0.9724274699376116
0.2250372475588675,-0.9719362561989093
0.2321483053619397,-0.9707082218521549
0.14690832081782718,-0.8247288962097152
0.14975241241202764,-0.8242373423137652
0.1568638014030465,-0.8230096481828157
0.10173729637534298,-0.7361094744366137
0.10458171841857475,-0.7356182608840748
0.11169277678183795,-0.7343902264405787
0.09705320333734402,-0.7208483582399926
0.10416425873809626,-0.7196203243081031
0.11127531413884864,-0.7183922903762135
0.08952453477954402,-0.7060782017326039
0.09663559252443275,-0.704850167395897
0.10374665101530121,-0.703622132930364
0.05554770652636694,-0.659973648482324
0.06238526106291578,-0.658792846406005
0.0692228169557912,-0.6576120440954574
-0.02020919166193873,-0.7564721252668332
-0.017364768540709875,-0.7559809115281314
-0.010253710737637763,-0.7547528771813764
-0.09549424733833502,-0.6087729288375319
-0.09264961091169287,-0.6082819912070164
-0.0855387667531157,-0.6070536808106324
-0.140664863347393,-0.5201539562903826
-0.1378204413041613,-0.519662742737844
-0.130709382940898,-0.5184347082943477
0.3195100314293264,-0.9110788877018062
0.3266210868300786,-0.909850853769917
0.33373211951647574,-0.9086228170519384
0.2920371305695333,-0.8705850718769808
0.29914818831442214,-0.8693570375402738
0.3062592468052905,-0.8681290030747411
0.2249174866666314,-0.7882036916315327
0.23168992260497032,-0.7870341351219678
0.23846235854330913,-0.7858645786124027
0.22219282443763874,-0.9724274699376116
0.2250372475588675,-0.9719362561989093
0.2321483053619397,-0.9707082218521549
0.14690832081782718,-0.8247288962097152
0.14975241241202764,-0.8242373423137652
0.1568638014030465,-0.8230096481828157
0.10173729637534298,-0.7361094744366137
0.10458171841857475,-0.7356182608840748
0.11169277678183795,-0.7343902264405787
0.09705320333734402,-0.7208483582399926
0.10416425873809626,-0.7196203243081031
0.11127531413884864,-0.7183922903762135
0.08952453477954402,-0.7060782017326039
0.09663559252443275,-0.704850167395897
0.10374665101530121,-0.703622132930364
0.05554770652636694,-0.659973648482324
0.06238526106291578,-0.658792846406005
0.0692228169557912,-0.6576120440954574
-0.02020919166193873,-0.7564721252668332
-0.017364768540709875,-0.7559809115281314
-0.010253710737637763,-0.7547528771813764
-0.09549424733833502,-0.6087729288375319
-0.09264961091169287,-0.6082819912070164
-0.0855387667531157,-0.6070536808106324
-0.140664863347393,-0.5201539562903826
-0.1378204413041613,-0.519662742737844
-0.130709382940898,-0.5184347082943477
-0.3456146560900087,-0.41747480057760955
2.6988941172874834,-1.9149514374868468
-0.24042864652149742,-0.5161799020517284
-0.290443228096543,-0.4438983169556173
-0.1955522234138916,-0.5064360369860955
-0.26306755298556517,-0.42210297213218456
-0.3165132596555148,0.25734648067323657
-0.24195106215579426,0.35457387929087925
-0.1673889239312929,0.4518012006149931
-0.16614248633892034,0.039090490476700004
-0.16562358777901304,0.021877349792104886
-0.16495900467919453,-0.00017058389667268784
-0.1531494250993007,-0.3919459417434022
-0.2821798008393287,0.24474613136868395
-0.24904208110715362,0.24068153702898523
-0.24887587300444974,0.23516829156908498
-0.1739737325469708,0.321118592822383
-0.17850518070198604,-0.027134308791226275
-0.1781652299178768,-0.03841144956199517
-0.263086690697476,0.24351987618531118
-0.004664722325646183,-0.3601393185009738
-0.18913759994592963,-0.27411638293139057
-0.19095435981659636,-0.275925620453547
-0.19398229293437427,-0.27894101632380763
-0.18913759994592963,-0.27411638293139057
-0.2768265596694416,-0.26877952487758905
-0.28511099107263427,-0.2677633761123393
-0.2224265261518683,-0.28385315405711314
-0.2981597460106354,-0.2724636365361147
-0.30941301872204613,-0.2731835965803593
-0.19572594765142481,0.12596004586301282
-0.20541533362831405,0.11631077907817867
-0.22479410558209253,0.09701224550851051
-0.19572594765142481,0.12596004586301282
-0.1963924721415365,-0.2788329547360389
-0.2060818581184257,-0.28848222152087305
-0.2270340379529899,-0.29210050032213003
-0.25433624247514086,-0.28249388271597714
-0.2737150144289193,-0.30179241628564535
-0.2533782367827444,-0.2824933942640491
