zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
LEV,C[N+]12CCC(CC1)CC2,0.16,0.0,1.0,0.78,0.04,1.0,0.2,1.0,0.42,0.84,0.0,0.08
AFI,CCCN(CCC)CCC,1.0,0.10638297872340426,0.9787234042553191,0.9787234042553191,1.0,1.0,1.0,0.9574468085106383,0.02127659574468085,0.1276595744680851,0.0,0.10638297872340426
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9111111111111111,0.9111111111111111,0.022222222222222223,0.8,1.0,1.0,0.9777777777777777,0.06666666666666667,0.0,0.9333333333333333,0.9555555555555556,0.0
MAZ,OSDA-free,0.05128205128205128,0.9487179487179487,1.0,1.0,0.07692307692307693,0.8205128205128205,0.0,1.0,0.5128205128205128,0.9487179487179487,0.0,0.0
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.0,0.027777777777777776,0.9166666666666666,0.9166666666666666,0.7222222222222222,0.8888888888888888,0.08333333333333333,1.0,0.0,0.8888888888888888,0.0,0.0
AEN,CC[n+]1ccn(C)c1C,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,0.06060606060606061,0.0,0.8181818181818182
FAU,C1COCCOCCOCCOCCOCCO1,0.8620689655172413,0.8620689655172413,1.0,1.0,0.0,1.0,0.1724137931034483,1.0,1.0,0.5172413793103449,0.0,0.3103448275862069
FAU,CC[N+](CC)(CC)CC,0.0,0.9230769230769231,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.038461538461538464
GIS,CCCNCCC,1.0,0.0,0.875,0.875,1.0,1.0,1.0,0.125,0.0,0.08333333333333333,0.8333333333333334,0.0
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.0,1.0,0.0,1.0,1.0,1.0,0.4583333333333333,1.0,0.0,0.875,0.5416666666666666,0.5
PHI,OSDA-free,0.041666666666666664,0.9583333333333334,1.0,1.0,0.0,0.5,0.0,1.0,0.125,0.4583333333333333,0.0,0.16666666666666666
LEV,C[N+]1(C)CCCCC1,0.043478260869565216,0.043478260869565216,1.0,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.043478260869565216,0.043478260869565216,0.5652173913043478,0.043478260869565216
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5909090909090909,0.5909090909090909,0.0,0.4090909090909091,1.0,1.0,0.18181818181818182,0.8181818181818182,0.0,0.6363636363636364,0.0,0.0
