zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
ERI,1.0,0.7777777777777778,1.0,1.0,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,0.6666666666666666,0.9444444444444444
MTN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,1.0,0.7058823529411765,1.0,0.7058823529411765
MRE,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,0.8571428571428571
AFR,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21428571428571427,0.9285714285714286,0.9285714285714286
SWY,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0
LAU,1.0,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDR,0.7692307692307693,1.0,1.0,0.6923076923076923,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,0.7692307692307693,0.9230769230769231
AFX,0.9166666666666666,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
UFI,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9090909090909091,0.9090909090909091
ISV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.8181818181818182
ANA,1.0,1.0,1.0,1.0,0.4,1.0,0.9,1.0,1.0,0.9,1.0,1.0
CLO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
OFF,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STI,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333
CTH,1.0,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
SFS,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25
AWO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875
DOH,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.7142857142857143,1.0
SOD,1.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.42857142857142855,1.0,1.0
STW,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0
UOZ,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MEI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ETL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AVE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SZR,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,1.0
JST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0
IFR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IFW,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CGS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PWN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75
RTH,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EUO,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75
EMT,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.25,0.5
BPH,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75
AWW,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ASV,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IHW,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RWY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LTJ,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.6666666666666666
SFH,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333
